"product_id","time_id","customer_id","promotion_id","store_id","store_sales","store_cost","unit_sales"
"337","371","6280",,"2","1.5000","0.5100","2"
"1512","371","6280",,"2","1.6200","0.6318","3"
"963","371","4018",,"2","2.4000","0.7200","1"
"181","371","4018",,"2","2.7900","1.0323","3"
"1383","371","4018",,"2","5.1800","2.1756","2"
"1306","371","4018",,"2","7.4100","2.7417","3"
"1196","371","1418",,"2","5.8400","1.9856","2"
"360","371","1418",,"2","2.6200","1.0480","2"
"1242","371","1418",,"2","3.9600","1.7028","2"
"154","371","1418",,"2","1.9600","0.7252","1"
"483","371","4382",,"2","3.8800","1.7072","2"
"77","371","1293",,"2","5.6000","2.8000","2"
"533","371","1293",,"2","4.8400","2.3232","2"
"310","371","1293",,"2","0.7600","0.3420","1"
"1392","371","1293",,"2","0.8300","0.3735","1"
"1303","394","9305",,"2","1.3600","0.4352","2"
"748","394","9305",,"2","4.4000","1.9360","2"
"1270","394","9305",,"2","2.6900","1.0491","1"
"311","394","5649",,"2","6.4500","2.3865","3"
"194","394","5649",,"2","3.3600","1.5120","1"
"544","394","5649",,"2","2.9500","1.0325","1"
"610","394","6319",,"2","2.2700","0.7491","1"
"854","394","6319",,"2","1.6000","0.6880","1"
"538","394","6319",,"2","1.8600","0.7440","2"
"72","394","1771",,"2","5.4800","2.0824","2"
"182","394","1771",,"2","1.8400","0.7360","1"
"265","394","1771",,"2","3.6100","1.3718","1"
"15","394","1771",,"2","4.5800","1.6030","2"
"764","394","1771",,"2","7.6200","2.6670","2"
"335","394","3211",,"2","3.7400","1.2716","1"
"924","394","3211",,"2","2.7000","0.8910","1"
"302","394","3211",,"2","3.4500","1.3455","1"
"1024","394","3211",,"2","7.9000","3.5550","2"
"2","394","3211",,"2","0.7400","0.2960","1"
"1211","376","4217",,"2","7.5800","2.3498","2"
"1055","376","4217",,"2","3.2400","1.1988","2"
"379","376","4217",,"2","7.7000","3.6960","2"
"1017","376","4772",,"2","5.7800","2.6010","2"
"1221","376","4772",,"2","2.9800","1.1324","2"
"1437","376","4772",,"2","3.4800","1.5660","2"
"375","376","4772",,"2","4.5800","2.1068","2"
"1177","376","4772",,"2","1.5400","0.7546","1"
"1155","376","4772",,"2","3.7600","1.6544","2"
"79","376","4772",,"2","1.3200","0.5544","1"
"212","376","4787",,"2","3.3200","1.5272","2"
"934","376","4787",,"2","1.1000","0.4400","1"
"1471","376","4787",,"2","1.5500","0.6510","1"
"275","376","4787",,"2","6.5400","2.0274","2"
"809","376","2508",,"2","2.4400","0.8784","2"
"1091","376","2508",,"2","7.1200","3.4888","2"
"243","376","2508",,"2","2.1100","0.7385","1"
"1231","376","2508",,"2","3.7100","1.3356","1"
"56","376","1493",,"2","0.7100","0.2982","1"
"965","376","1493",,"2","3.0600","1.1934","2"
"209","376","1493",,"2","1.8700","0.7667","1"
"1331","376","1493",,"2","2.7400","1.0686","1"
"255","376","1493",,"2","0.6400","0.2304","1"
"366","376","1493",,"2","4.7200","1.6992","2"
"842","395","8178","108","2","6.4000","2.1120","2"
"1364","395","8178","108","2","3.2000","1.5680","2"
"942","395","8178","108","2","4.6800","1.8252","2"
"1064","395","8178","108","2","1.0800","0.3240","2"
"282","395","8178","108","2","0.9300","0.3999","1"
"1485","395","8178","108","2","3.0000","1.0800","2"
"542","395","7525","108","2","1.5100","0.4681","1"
"1118","395","7525","108","2","2.9300","1.2306","1"
"948","395","7525","108","2","8.8800","2.9304","3"
"632","395","7525","108","2","0.8300","0.2739","1"
"22","395","7525","108","2","6.8700","3.0915","3"
"293","395","7525","108","2","1.6000","0.5280","1"
"309","395","7525","108","2","3.6200","1.2308","1"
"86","395","3628","108","2","5.9400","2.0790","2"
"490","395","3628","108","2","1.6500","0.8250","1"
"107","395","3628","108","2","3.6200","1.1222","2"
"1255","395","3628","108","2","1.2400","0.4960","1"
"513","395","3628","108","2","1.1600","0.4176","2"
"879","395","3182","108","2","2.2200","0.7548","2"
"1228","395","3182","108","2","4.3800","1.9272","2"
"180","395","3182","108","2","1.3800","0.6486","2"
"623","395","3182","108","2","3.6000","1.3680","2"
"1265","395","3182","108","2","1.4400","0.5904","2"
"340","395","8878","108","2","0.6300","0.2079","1"
"556","395","8878","108","2","6.5000","2.7300","2"
"443","395","5164","108","2","2.6600","1.1970","2"
"221","395","5164","108","2","7.3200","2.4888","2"
"1302","395","5164","108","2","3.7000","1.7390","2"
"759","395","5164","108","2","3.7800","1.1718","2"
"830","395","5164","108","2","2.4500","0.9555","1"
"1446","395","5164","108","2","1.2600","0.5418","1"
"743","395","5164","108","2","1.9200","0.7872","2"
"826","374","8854",,"2","1.8300","0.6954","1"
"1003","374","8854",,"2","1.5600","0.7020","2"
"886","374","8854",,"2","3.1100","1.3684","1"
"726","374","599",,"2","6.4200","2.3112","2"
"1302","374","599",,"2","1.8500","0.7030","1"
"1545","374","599",,"2","2.2900","0.8473","1"
"281","374","9617",,"2","2.6300","0.8942","1"
"763","374","9617",,"2","2.5500","1.1730","1"
"327","374","2741",,"2","1.2000","0.4560","2"
"942","374","2741",,"2","2.3400","0.7722","1"
"653","374","2741",,"2","8.3400","2.5854","3"
"377","374","2741",,"2","6.3000","2.5830","3"
"959","374","1627",,"2","3.0000","1.2600","2"
"603","374","1627",,"2","2.4600","1.1808","2"
"623","374","1627",,"2","3.6000","1.1880","2"
"1449","374","4863",,"2","2.6100","0.8352","3"
"1493","374","4863",,"2","11.8800","4.0392","3"
"218","374","4863",,"2","3.4400","1.5824","1"
"927","374","4863",,"2","1.8900","0.8127","3"
"277","404","4600",,"2","4.8200","1.6870","2"
"28","404","4600",,"2","3.9100","1.3685","1"
"777","404","4600",,"2","3.7200","1.5252","1"
"88","404","4600",,"2","0.8600","0.4214","1"
"1003","404","10198",,"2","1.5600","0.5148","2"
"1380","404","10198",,"2","10.8600","4.2354","3"
"78","404","6403",,"2","4.3800","1.4892","2"
"627","404","6403",,"2","3.4000","1.4960","2"
"444","404","8177",,"2","2.5900","1.0878","1"
"1087","404","8177",,"2","3.3200","1.4276","2"
"1130","404","8177",,"2","1.5500","0.6045","1"
"1413","404","8177",,"2","6.7600","2.3660","2"
"151","404","8177",,"2","2.9100","1.3386","1"
"1553","404","8177",,"2","1.8600","0.7254","1"
"877","404","8177",,"2","3.1600","1.2008","2"
"42","404","5649",,"2","5.6400","2.5944","2"
"1123","404","5649",,"2","3.9200","1.7248","2"
"1095","401","1627",,"2","1.5800","0.6794","1"
"712","401","1627",,"2","7.7400","2.8638","2"
"302","401","1627",,"2","6.9000","2.6910","2"
"1118","401","1627",,"2","5.8600","2.8128","2"
"1101","401","4772",,"2","2.6200","1.0480","1"
"279","401","4772",,"2","2.8200","1.3818","1"
"42","401","4772",,"2","5.6400","2.2560","2"
"1135","401","2180",,"2","3.9200","1.2936","2"
"180","401","2180",,"2","2.0700","1.0143","3"
"741","401","8147",,"2","1.4600","0.5402","2"
"1361","401","7053",,"2","3.6200","1.4118","2"
"1471","401","7053",,"2","3.1000","1.4570","2"
"1555","401","7053",,"2","5.9000","2.8320","2"
"1305","401","7053",,"2","0.5700","0.2052","1"
"213","420","8983",,"2","0.5600","0.2352","1"
"1028","420","8983",,"2","4.4800","1.3888","2"
"619","420","1333",,"2","6.7500","2.0925","3"
"955","420","1333",,"2","11.4900","4.5960","3"
"772","420","1333",,"2","5.8200","2.8518","3"
"1322","420","1333",,"2","6.4000","2.5600","2"
"818","420","1333",,"2","1.3500","0.6075","1"
"1501","420","1333",,"2","7.5600","2.8728","3"
"1082","420","5188",,"2","3.8200","1.6044","2"
"1098","420","5188",,"2","4.1700","1.8348","3"
"1048","420","5188",,"2","6.6300","2.0553","3"
"1198","420","5188",,"2","6.8600","2.2638","2"
"749","420","5188",,"2","8.0100","4.0050","3"
"953","420","5188",,"2","8.2200","3.9456","3"
"1182","420","2965",,"2","1.4000","0.6860","1"
"799","420","2965",,"2","5.6800","1.7040","2"
"803","420","2965",,"2","7.0200","2.9484","2"
"60","420","2965",,"2","5.3200","1.9684","2"
"316","420","2965",,"2","1.3100","0.4847","1"
"693","420","2965",,"2","1.9900","0.9154","1"
"443","420","4645",,"2","1.3300","0.5320","1"
"726","420","4645",,"2","3.2100","1.3482","1"
"1435","420","4645",,"2","5.4400","1.7952","2"
"959","407","8854",,"2","3.0000","1.0800","2"
"1109","407","8854",,"2","1.1000","0.4950","2"
"659","407","8854",,"2","3.2100","1.3482","1"
"449","407","8854",,"2","7.3800","3.3948","2"
"666","407","8854",,"2","2.6700","1.2282","3"
"157","407","8613",,"2","2.9500","1.2980","1"
"1199","407","8613",,"2","5.1200","1.9968","2"
"1189","407","8613",,"2","0.7600","0.3496","1"
"806","407","8613",,"2","5.2000","2.5480","2"
"397","407","8613",,"2","2.7000","1.2150","2"
"1212","407","8613",,"2","0.5300","0.1908","1"
"1322","407","5015",,"2","6.4000","2.1120","2"
"407","407","5015",,"2","6.4200","2.1828","2"
"451","407","5015",,"2","1.7800","0.6230","1"
"733","407","5015",,"2","1.9500","0.6045","1"
"1249","407","10179",,"2","1.4800","0.6364","1"
"1039","407","10179",,"2","1.6200","0.5022","2"
"687","407","3779",,"2","0.9700","0.3492","1"
"1143","407","3779",,"2","3.5200","1.1616","2"
"920","407","3779",,"2","1.4600","0.4818","2"
"444","407","3779",,"2","5.1800","1.6576","2"
"1459","407","3779",,"2","1.4300","0.6578","1"
"1529","407","3779",,"2","3.2700","1.5696","1"
"587","407","3779",,"2","6.5400","2.4198","2"
"1203","399","7008",,"2","1.4600","0.5986","1"
"381","399","7008",,"2","2.3300","0.7223","1"
"144","399","7008",,"2","1.0200","0.4182","2"
"1236","399","3883",,"2","3.3200","1.1620","1"
"281","399","3883",,"2","2.6300","0.8153","1"
"843","399","10261",,"2","2.9400","1.2642","1"
"1047","399","10261",,"2","6.4600","1.9380","2"
"597","399","2126",,"2","5.6000","1.6800","2"
"1053","399","2126",,"2","1.8500","0.8880","1"
"830","399","2126",,"2","4.9000","2.1070","2"
"354","399","2126",,"2","2.2500","0.9225","1"
"1369","399","2126",,"2","3.3800","1.0816","1"
"1440","399","2126",,"2","5.6200","2.1356","2"
"1554","399","6319",,"2","2.5400","0.8382","1"
"545","399","6319",,"2","1.4500","0.5510","1"
"18","446","5873",,"2","2.6700","0.8544","1"
"74","446","5873",,"2","3.1400","1.3502","2"
"1049","446","5873",,"2","7.8600","2.9868","2"
"1239","446","5873",,"2","4.5600","1.3680","2"
